timestamp,load_forecast_k1,load_forecast_k2,load_forecast_k3,load_forecast_k4,load_forecast_k5
1/1/07 0:00,9484,9484,9484,9484,9484
1/1/07 1:00,9152,9152,9152,9152,9152
1/1/07 2:00,8799,8799,8799,8799,8799
1/1/07 3:00,8567,8567,8567,8567,8567
1/1/07 4:00,8487,8487,8487,8487,8487
1/1/07 5:00,8428,8428,8428,8428,8428
1/1/07 6:00,8122,8122,8122,8122,8122
1/1/07 7:00,8179,8179,8179,8179,8179
1/1/07 8:00,8340,8340,8340,8340,8340
1/1/07 9:00,8677,8677,8677,8677,8677
1/1/07 10:00,8899,8899,8899,8899,8899
1/1/07 11:00,9092,9092,9092,9092,9092
1/1/07 12:00,9088,9088,9088,9088,9088
1/1/07 13:00,8940,8940,8940,8940,8940
1/1/07 14:00,8919,8919,8919,8919,8919
1/1/07 15:00,9017,9017,9017,9017,9017
1/1/07 16:00,9664,9664,9664,9664,9664
1/1/07 17:00,9914,9914,9914,9914,9914
1/1/07 18:00,9852,9852,9852,9852,9852
1/1/07 19:00,9573,9573,9573,9573,9573
1/1/07 20:00,9422,9422,9422,9422,9422
1/1/07 21:00,9896,9896,9896,9896,9896
1/1/07 22:00,10062,10062,10062,10062,10062
1/1/07 23:00,9489,9489,9489,9489,9489
1/2/07 0:00,9001,9001,9001,9001,9001
1/2/07 1:00,8571,8571,8571,8571,8571
1/2/07 2:00,8321,8321,8321,8321,8321
1/2/07 3:00,8277,8277,8277,8277,8277
1/2/07 4:00,8517,8517,8517,8517,8517
1/2/07 5:00,9000,9000,9000,9000,9000
1/2/07 6:00,9226,9226,9226,9226,9226
1/2/07 7:00,9769,9769,9769,9769,9769
1/2/07 8:00,10243,10243,10243,10243,10243
1/2/07 9:00,10557,10557,10557,10557,10557
1/2/07 10:00,10781,10781,10781,10781,10781
1/2/07 11:00,10770,10770,10770,10770,10770
1/2/07 12:00,10606,10606,10606,10606,10606
1/2/07 13:00,10320,10320,10320,10320,10320
1/2/07 14:00,10225,10225,10225,10225,10225
1/2/07 15:00,10394,10394,10394,10394,10394
1/2/07 16:00,11212,11212,11212,11212,11212
1/2/07 17:00,11429,11429,11429,11429,11429
1/2/07 18:00,11057,11057,11057,11057,11057
1/2/07 19:00,10516,10516,10516,10516,10516
1/2/07 20:00,9993,9993,9993,9993,9993
1/2/07 21:00,10362,10362,10362,10362,10362
1/2/07 22:00,10440,10440,10440,10440,10440
1/2/07 23:00,9880,9880,9880,9880,9880
1/3/07 0:00,9295,9295,9295,9295,9295
1/3/07 1:00,8901,8901,8901,8901,8901
1/3/07 2:00,8551,8551,8551,8551,8551
1/3/07 3:00,8536,8536,8536,8536,8536
1/3/07 4:00,8619,8619,8619,8619,8619
1/3/07 5:00,8921,8921,8921,8921,8921
1/3/07 6:00,9010,9010,9010,9010,9010
1/3/07 7:00,9605,9605,9605,9605,9605
1/3/07 8:00,10117,10117,10117,10117,10117
1/3/07 9:00,10705,10705,10705,10705,10705
1/3/07 10:00,11068,11068,11068,11068,11068
1/3/07 11:00,11128,11128,11128,11128,11128
1/3/07 12:00,11004,11004,11004,11004,11004
1/3/07 13:00,10816,10816,10816,10816,10816
1/3/07 14:00,10834,10834,10834,10834,10834
1/3/07 15:00,11072,11072,11072,11072,11072
1/3/07 16:00,11515,11515,11515,11515,11515
1/3/07 17:00,11503,11503,11503,11503,11503
1/3/07 18:00,11098,11098,11098,11098,11098
1/3/07 19:00,10692,10692,10692,10692,10692
1/3/07 20:00,10232,10232,10232,10232,10232
1/3/07 21:00,10425,10425,10425,10425,10425
1/3/07 22:00,10421,10421,10421,10421,10421
1/3/07 23:00,9941,9941,9941,9941,9941
1/4/07 0:00,9447,9447,9447,9447,9447
1/4/07 1:00,9010,9010,9010,9010,9010
1/4/07 2:00,8725,8725,8725,8725,8725
1/4/07 3:00,8591,8591,8591,8591,8591
1/4/07 4:00,8495,8495,8495,8495,8495
1/4/07 5:00,8625,8625,8625,8625,8625
1/4/07 6:00,8763,8763,8763,8763,8763
1/4/07 7:00,9054,9054,9054,9054,9054
1/4/07 8:00,9587,9587,9587,9587,9587
1/4/07 9:00,9981,9981,9981,9981,9981
1/4/07 10:00,10434,10434,10434,10434,10434
1/4/07 11:00,10619,10619,10619,10619,10619
1/4/07 12:00,10391,10391,10391,10391,10391
1/4/07 13:00,10139,10139,10139,10139,10139
